device_id,timestamp,room_temp_c,setpoint_c,ambient_temp_c,compressor_state,power_watt,mode
DVC-101,2026-06-04 09:15:00,25.82,24.0,31.83,1,1397.0,COOL
DVC-104,2026-06-13 14:15:00,23.5,24.0,36.95,1,1242.6,COOL
DVC-101,2026-06-03 15:00:00,24.52,24.0,38.04,0,51.6,FAN
DVC-102,2026-06-03 21:00:00,24.59,26.0,30.6,0,50.3,FAN
DVC-101,2026-06-08 04:00:00,25.36,26.0,24.93,0,55.4,OFF
DVC-104,2026-06-01 21:30:00,25.17,26.0,30.18,0,40.3,FAN
DVC-105,2026-06-05 16:15:00,24.53,24.0,36.92,0,52.7,FAN
DVC-105,2026-06-09 16:15:00,24.53,24.0,37.09,0,32.4,FAN
DVC-104,2026-06-02 16:15:00,24.2,24.0,37.32,1,1347.3,COOL
DVC-104,2026-06-10 02:30:00,23.5,26.0,23.85,0,34.0,OFF
DVC-104,2026-06-08 00:00:00,26.7,26.0,25.86,0,44.2,OFF
DVC-104,2026-06-09 18:15:00,23.5,24.0,34.69,1,1530.7,COOL
DVC-102,2026-06-09 13:45:00,24.26,24.0,36.66,1,1434.8,COOL
DVC-104,2026-06-04 23:15:00,25.48,26.0,27.96,0,43.9,OFF
DVC-105,2026-06-02 22:15:00,25.38,26.0,28.41,0,48.5,OFF
DVC-101,2026-06-01 08:15:00,26.33,26.0,29.34,0,67.3,FAN
DVC-103,2026-06-04 01:45:00,26.17,26.0,26.0,0,43.7,OFF
DVC-102,2026-06-04 19:00:00,24.03,24.0,33.77,1,1567.4,COOL
DVC-104,2026-06-09 17:45:00,23.5,24.0,35.4,0,43.3,FAN
DVC-104,2026-06-10 06:45:00,23.5,26.0,27.42,0,53.3,OFF
DVC-102,2026-06-06 21:15:00,24.74,26.0,30.91,0,55.1,FAN
DVC-104,2026-06-02 06:45:00,26.32,26.0,27.5,0,29.9,OFF
DVC-101,2026-06-06 08:30:00,26.12,26.0,30.69,0,43.9,FAN
DVC-105,2026-06-02 15:15:00,24.65,24.0,36.77,1,1390.9,COOL
DVC-101,2026-06-04 19:00:00,24.31,24.0,33.92,1,1112.7,COOL
DVC-102,2026-06-08 05:00:00,25.66,26.0,25.27,0,50.3,OFF
DVC-103,2026-06-07 02:45:00,25.42,26.0,24.56,0,46.9,OFF
DVC-104,2026-06-07 23:15:00,26.07,26.0,27.32,0,48.8,OFF
DVC-102,2026-06-08 23:30:00,25.5,26.0,27.35,0,41.3,OFF
DVC-102,2026-06-09 16:00:00,24.57,24.0,35.74,0,52.7,FAN
DVC-103,2026-06-14 10:45:00,24.12,24.0,33.7,1,1171.5,COOL
DVC-102,2026-06-13 18:00:00,24.24,24.0,35.33,1,1397.0,COOL
DVC-103,2026-06-11 19:45:00,24.17,24.0,32.69,1,1495.8,COOL
DVC-103,2026-06-13 11:15:00,24.54,24.0,33.21,0,51.3,FAN
DVC-101,2026-06-04 14:15:00,24.42,24.0,35.65,1,1438.4,COOL
DVC-105,2026-06-11 00:15:00,26.59,26.0,25.71,0,73.9,OFF
DVC-102,2026-06-01 20:15:00,24.26,24.0,31.7,1,1322.7,COOL
DVC-101,2026-06-11 05:00:00,25.17,26.0,26.08,0,46.5,OFF
DVC-101,2026-06-04 11:30:00,24.21,24.0,34.67,1,1348.8,COOL
DVC-104,2026-06-11 20:30:00,23.5,24.0,31.65,1,1148.5,COOL
DVC-104,2026-06-12 05:30:00,23.5,26.0,26.32,0,28.9,OFF
DVC-102,2026-06-12 08:45:00,26.09,26.0,30.61,1,1302.5,COOL
DVC-101,2026-06-03 23:45:00,25.85,26.0,27.08,0,30.3,OFF
DVC-104,2026-06-11 10:30:00,23.5,24.0,33.17,1,1331.4,COOL
DVC-102,2026-06-02 15:15:00,24.47,24.0,35.73,1,1377.8,COOL
DVC-102,2026-06-11 06:15:00,25.41,26.0,26.05,0,56.5,OFF
DVC-104,2026-06-10 16:00:00,23.5,24.0,36.57,1,1522.9,COOL
DVC-102,2026-06-14 22:45:00,25.53,26.0,28.05,0,43.7,OFF
DVC-102,2026-06-04 18:15:00,24.23,24.0,35.24,1,1393.5,COOL
DVC-103,2026-06-12 00:00:00,25.59,26.0,27.03,0,55.0,OFF
DVC-105,2026-06-06 20:30:00,24.19,24.0,30.91,1,1445.3,COOL
DVC-104,2026-06-05 21:15:00,24.99,26.0,31.24,0,51.1,FAN
DVC-104,2026-06-09 11:00:00,23.5,24.0,34.93,0,55.1,FAN
DVC-101,2026-06-05 21:45:00,25.41,26.0,29.59,0,52.0,FAN
DVC-104,2026-06-09 12:30:00,23.5,24.0,36.74,1,1303.0,COOL
DVC-102,2026-06-12 11:30:00,24.21,24.0,34.6,1,1307.5,COOL
DVC-101,2026-06-01 12:00:00,24.69,24.0,35.65,0,48.6,FAN
DVC-103,2026-06-09 04:30:00,25.51,26.0,25.39,0,42.6,OFF
DVC-101,2026-06-12 00:15:00,26.35,26.0,26.74,0,52.2,OFF
DVC-102,2026-06-01 22:00:00,25.03,26.0,29.46,0,51.0,OFF
DVC-105,2026-06-04 17:30:00,24.47,24.0,35.31,1,1357.6,COOL
DVC-104,2026-06-11 14:15:00,23.5,24.0,36.71,1,1379.3,COOL
DVC-103,2026-06-05 04:45:00,25.99,26.0,24.82,0,72.0,OFF
DVC-103,2026-06-05 20:45:00,24.36,24.0,31.2,0,51.7,FAN
DVC-101,2026-06-01 04:00:00,25.98,26.0,25.43,0,46.8,OFF
DVC-101,2026-06-04 09:00:00,26.16,24.0,32.09,1,1465.8,COOL
DVC-102,2026-06-01 03:00:00,26.81,26.0,25.36,0,61.0,OFF
DVC-101,2026-06-01 09:00:00,26.11,24.0,30.93,1,1469.5,COOL
DVC-102,2026-06-14 19:15:00,24.15,24.0,32.94,1,1327.6,COOL
DVC-101,2026-06-10 01:00:00,26.57,26.0,25.45,0,36.4,OFF
DVC-105,2026-06-06 17:45:00,24.38,24.0,35.49,1,1297.9,COOL
DVC-105,2026-06-03 15:30:00,24.22,24.0,37.94,1,1253.1,COOL
DVC-101,2026-06-11 13:45:00,24.71,24.0,36.07,0,46.2,FAN
DVC-103,2026-06-13 10:45:00,24.52,24.0,33.21,0,35.1,FAN
DVC-101,2026-06-03 13:30:00,24.62,24.0,35.89,0,42.4,FAN
DVC-102,2026-06-13 08:00:00,26.13,26.0,29.31,0,59.9,FAN
DVC-104,2026-06-12 04:00:00,23.5,26.0,25.62,0,44.7,OFF
DVC-101,2026-06-04 06:30:00,25.25,26.0,27.84,0,62.0,OFF
DVC-104,2026-06-02 02:45:00,26.1,26.0,25.15,0,31.9,OFF
DVC-101,2026-06-04 15:45:00,24.5,24.0,37.39,1,1409.8,COOL
DVC-101,2026-06-01 00:15:00,26.89,26.0,25.86,0,37.7,OFF
DVC-103,2026-06-01 17:30:00,24.39,24.0,35.48,1,1377.9,COOL
DVC-101,2026-06-08 18:00:00,24.55,24.0,35.3,0,69.9,FAN
DVC-104,2026-06-14 19:00:00,23.5,24.0,34.7,1,1456.6,COOL
DVC-102,2026-06-02 10:45:00,24.4,24.0,32.85,0,51.9,FAN
DVC-104,2026-06-02 16:45:00,24.41,24.0,36.02,1,1479.3,COOL
DVC-105,2026-06-13 12:15:00,24.11,24.0,35.41,1,1381.6,COOL
DVC-101,2026-06-09 17:00:00,24.89,24.0,36.0,0,41.5,FAN
DVC-102,2026-06-11 23:30:00,26.12,26.0,27.37,0,53.4,OFF
DVC-103,2026-06-01 05:00:00,26.04,26.0,25.42,0,36.3,OFF
DVC-101,2026-06-06 01:30:00,26.22,26.0,24.99,0,42.1,OFF
DVC-104,2026-06-07 06:00:00,26.32,26.0,27.66,0,37.1,OFF
DVC-104,2026-06-02 01:30:00,26.48,26.0,25.11,0,54.4,OFF
DVC-102,2026-06-03 22:00:00,25.63,26.0,30.1,0,72.1,OFF
DVC-104,2026-06-14 07:15:00,23.5,26.0,27.26,0,42.3,OFF
DVC-105,2026-06-10 14:00:00,24.49,24.0,37.05,1,1164.8,COOL
DVC-105,2026-06-12 09:00:00,26.02,24.0,31.36,1,1414.5,COOL
DVC-103,2026-06-01 10:15:00,24.44,24.0,33.55,1,1370.2,COOL
DVC-103,2026-06-02 14:45:00,24.68,24.0,37.21,0,54.6,FAN
DVC-103,2026-06-03 01:15:00,25.84,26.0,25.86,0,42.9,OFF
DVC-103,2026-06-03 21:15:00,24.65,26.0,29.49,0,50.7,FAN
DVC-102,2026-06-04 00:30:00,25.98,26.0,26.26,0,51.6,OFF
DVC-101,2026-06-08 22:30:00,25.43,26.0,29.15,0,32.4,OFF
DVC-104,2026-06-03 12:00:00,24.27,24.0,35.32,1,1518.0,COOL
DVC-101,2026-06-09 01:00:00,25.72,26.0,25.96,0,48.0,OFF
DVC-105,2026-06-05 16:45:00,-99.0,24.0,37.17,1,1279.6,COOL
DVC-104,2026-06-13 10:15:00,23.5,24.0,33.21,1,1247.9,COOL
DVC-102,2026-06-08 01:45:00,26.14,26.0,25.79,0,25.9,OFF
DVC-101,2026-06-07 22:15:00,25.53,26.0,28.05,0,40.4,OFF
DVC-101,2026-06-13 17:00:00,24.38,24.0,36.17,1,1241.2,COOL
DVC-101,2026-06-14 22:45:00,26.26,26.0,28.22,0,51.9,OFF
DVC-102,2026-06-09 18:00:00,24.7,24.0,35.6,0,32.1,FAN
DVC-101,2026-06-10 06:15:00,26.27,26.0,26.02,0,43.5,OFF
DVC-103,2026-06-12 18:45:00,24.0,24.0,34.3,1,1451.1,COOL
DVC-102,2026-06-07 14:00:00,24.14,24.0,36.53,1,1265.1,COOL
DVC-101,2026-06-11 18:15:00,23.99,24.0,35.25,1,1200.3,COOL
DVC-102,2026-06-11 06:30:00,25.51,26.0,27.6,0,69.9,OFF
DVC-103,2026-06-03 22:45:00,25.51,26.0,27.88,0,53.0,OFF
DVC-105,2026-06-08 21:30:00,24.87,26.0,30.02,0,47.8,FAN
DVC-104,2026-06-11 15:15:00,23.5,24.0,36.83,0,42.0,FAN
DVC-105,2026-06-14 17:15:00,24.79,24.0,36.19,0,44.5,FAN
DVC-101,2026-06-12 18:30:00,24.51,24.0,34.12,0,39.3,FAN
DVC-101,2026-06-12 20:15:00,24.45,24.0,32.19,1,1258.1,COOL
DVC-103,2026-06-02 03:30:00,25.44,26.0,24.44,0,31.7,OFF
DVC-104,2026-06-12 14:30:00,23.5,24.0,38.13,1,1510.6,COOL
DVC-102,2026-06-12 00:00:00,26.22,26.0,26.8,0,48.8,OFF
DVC-104,2026-06-03 00:30:00,26.74,26.0,25.72,0,48.9,OFF
DVC-104,2026-06-14 11:30:00,23.5,24.0,33.79,0,41.9,FAN
DVC-104,2026-06-07 16:45:00,24.25,24.0,36.53,1,1227.6,COOL
DVC-105,2026-06-02 08:45:00,26.43,26.0,29.38,0,48.9,FAN
DVC-101,2026-06-07 10:45:00,24.01,24.0,34.52,1,1339.6,COOL
DVC-101,2026-06-12 14:15:00,24.44,24.0,36.74,1,1329.6,COOL
DVC-104,2026-06-09 18:00:00,23.5,24.0,35.05,1,1470.9,COOL
DVC-103,2026-06-11 10:30:00,24.47,24.0,35.36,1,1247.2,COOL
DVC-102,2026-06-03 04:30:00,26.17,26.0,25.88,0,44.4,OFF
DVC-103,2026-06-02 15:15:00,24.08,24.0,37.29,1,1518.9,COOL
DVC-103,2026-06-06 16:30:00,24.38,24.0,36.05,1,1191.2,COOL
DVC-101,2026-06-07 23:15:00,26.0,26.0,26.13,0,57.3,OFF
DVC-101,2026-06-13 13:45:00,24.17,24.0,36.15,1,1274.2,COOL
DVC-102,2026-06-06 04:45:00,25.32,26.0,24.99,0,56.5,OFF
DVC-102,2026-06-01 00:15:00,27.32,26.0,25.68,0,45.1,OFF
DVC-104,2026-06-14 13:45:00,23.5,24.0,36.79,0,59.5,FAN
DVC-103,2026-06-05 09:45:00,25.19,24.0,32.18,1,1359.5,COOL
DVC-102,2026-06-04 06:00:00,26.1,26.0,27.37,0,43.4,OFF
DVC-103,2026-06-08 23:45:00,26.32,26.0,27.3,0,50.7,OFF
DVC-101,2026-06-10 02:15:00,26.16,26.0,25.15,0,52.4,OFF
DVC-101,2026-06-06 01:00:00,26.25,26.0,25.77,0,58.7,OFF
DVC-101,2026-06-06 09:15:00,25.81,24.0,30.98,1,3767.5,COOL
DVC-105,2026-06-10 23:15:00,26.09,26.0,27.17,0,35.5,OFF
DVC-101,2026-06-10 03:45:00,26.25,26.0,25.1,0,4976.9,OFF
DVC-102,2026-06-11 08:45:00,26.34,26.0,30.05,0,51.2,FAN
DVC-105,2026-06-02 06:15:00,26.05,26.0,25.66,0,58.7,OFF
DVC-101,2026-06-06 21:00:00,24.75,26.0,31.54,0,48.3,FAN
DVC-102,2026-06-09 23:15:00,26.2,26.0,27.29,0,55.4,OFF
DVC-105,2026-06-02 16:30:00,24.08,24.0,37.19,1,1611.0,COOL
DVC-103,2026-06-05 18:30:00,24.58,24.0,33.78,0,51.6,FAN
DVC-102,2026-06-12 07:30:00,25.95,26.0,28.48,0,38.5,OFF
DVC-101,2026-06-01 04:30:00,26.08,26.0,25.98,0,16.3,OFF
DVC-101,2026-06-01 14:00:00,24.11,24.0,36.63,1,1360.9,COOL
DVC-101,2026-06-13 00:30:00,0.0,26.0,26.66,0,30.2,OFF
DVC-101,2026-06-09 13:30:00,24.68,24.0,35.85,0,31.8,FAN
DVC-105,2026-06-11 07:00:00,26.09,26.0,27.33,0,32.8,OFF
DVC-102,2026-06-03 10:30:00,24.43,24.0,33.88,1,1374.3,COOL
DVC-104,2026-06-14 15:45:00,23.5,24.0,37.77,1,1298.7,COOL
DVC-101,2026-06-02 16:30:00,24.54,24.0,37.82,1,1266.2,COOL
DVC-103,2026-06-04 22:00:00,25.44,26.0,29.22,0,44.3,OFF
DVC-101,2026-06-13 23:30:00,26.18,26.0,27.1,0,47.3,OFF
DVC-104,2026-06-12 08:00:00,23.5,26.0,29.08,0,38.7,FAN
DVC-101,2026-06-08 23:30:00,25.54,26.0,27.4,0,26.0,OFF
DVC-103,2026-06-06 19:45:00,24.62,24.0,33.63,0,38.6,FAN
DVC-103,2026-06-14 20:00:00,24.46,24.0,32.66,0,39.7,FAN
DVC-101,2026-06-01 03:00:00,26.16,26.0,25.04,0,54.6,OFF
DVC-101,2026-06-02 02:30:00,25.43,26.0,24.48,0,52.7,OFF
DVC-101,2026-06-12 09:00:00,25.93,24.0,31.48,1,1354.8,COOL
DVC-103,2026-06-12 15:15:00,24.64,24.0,37.73,0,51.6,FAN
DVC-102,2026-06-13 22:00:00,25.5,26.0,29.99,0,42.7,OFF
DVC-101,2026-06-12 21:30:00,25.22,26.0,29.02,0,38.7,FAN
DVC-104,2026-06-14 05:45:00,23.5,26.0,27.13,0,34.2,OFF
DVC-105,2026-06-10 10:15:00,24.63,24.0,33.69,1,1363.0,COOL
DVC-102,2026-06-10 14:30:00,-99.0,24.0,36.49,0,45.7,FAN
DVC-104,2026-06-01 01:00:00,26.67,26.0,25.24,0,37.4,OFF
DVC-105,2026-06-06 23:00:00,26.3,26.0,28.23,0,61.9,OFF
DVC-104,2026-06-11 22:15:00,23.5,26.0,29.48,0,39.7,OFF
DVC-101,2026-06-11 19:30:00,24.55,24.0,33.78,0,45.7,FAN
DVC-102,2026-06-06 12:30:00,24.09,24.0,35.35,1,1345.7,COOL
DVC-104,2026-06-12 17:30:00,23.5,24.0,35.82,1,1191.3,COOL
DVC-101,2026-06-11 13:00:00,24.74,24.0,35.9,0,35.7,FAN
DVC-105,2026-06-05 02:00:00,25.33,26.0,26.02,0,58.5,OFF
DVC-102,2026-06-07 13:00:00,24.67,24.0,36.05,0,45.8,FAN
DVC-105,2026-06-11 02:45:00,26.36,26.0,26.19,0,38.8,OFF
DVC-105,2026-06-04 19:15:00,24.16,24.0,33.76,1,1339.1,COOL
DVC-102,2026-06-09 20:15:00,24.69,24.0,31.46,0,39.3,FAN
DVC-105,2026-06-12 03:30:00,25.55,26.0,24.94,0,44.9,OFF
DVC-101,2026-06-03 20:15:00,24.7,24.0,33.43,0,37.2,FAN
DVC-102,2026-06-01 18:30:00,24.27,24.0,33.59,1,1301.1,COOL
DVC-104,2026-06-06 07:30:00,26.27,26.0,28.85,0,56.3,OFF
DVC-101,2026-06-02 20:00:00,24.55,24.0,33.5,0,68.7,FAN
DVC-102,2026-06-14 23:15:00,25.79,26.0,28.82,0,40.3,OFF
DVC-105,2026-06-03 07:00:00,25.59,26.0,27.71,0,26.8,OFF
DVC-103,2026-06-13 20:30:00,24.52,24.0,31.68,0,55.7,FAN
DVC-105,2026-06-14 08:45:00,26.44,26.0,30.14,0,51.5,FAN
DVC-101,2026-06-11 15:15:00,24.53,24.0,37.18,1,1389.0,COOL
DVC-105,2026-06-03 18:45:00,24.27,24.0,34.98,1,1588.0,COOL
DVC-105,2026-06-07 20:45:00,24.42,24.0,31.77,0,60.0,FAN
DVC-103,2026-06-06 03:45:00,25.59,26.0,25.63,0,66.9,OFF
DVC-105,2026-06-13 11:15:00,24.49,24.0,33.87,0,45.5,FAN
DVC-102,2026-06-08 02:00:00,26.09,26.0,24.91,0,60.2,OFF
DVC-103,2026-06-12 10:30:00,24.13,24.0,33.52,1,1404.0,COOL
DVC-105,2026-06-12 19:45:00,24.52,24.0,32.87,0,47.3,FAN
DVC-104,2026-06-12 13:45:00,23.5,24.0,36.86,1,1298.0,COOL
DVC-104,2026-06-06 01:15:00,26.26,26.0,25.44,0,30.9,OFF
DVC-105,2026-06-11 02:00:00,26.31,26.0,25.21,0,35.4,OFF
DVC-105,2026-06-11 17:15:00,24.71,24.0,36.59,0,46.1,FAN
DVC-101,2026-06-13 04:15:00,25.69,26.0,25.1,0,64.7,OFF
DVC-103,2026-06-10 14:00:00,24.12,24.0,37.4,1,1239.0,COOL
DVC-103,2026-06-10 13:45:00,24.3,24.0,37.81,1,1560.7,COOL
DVC-104,2026-06-07 00:30:00,26.75,26.0,25.07,0,48.4,OFF
DVC-104,2026-06-07 20:00:00,24.29,24.0,32.01,1,1161.4,COOL
DVC-102,2026-06-12 12:45:00,24.14,24.0,36.15,1,1404.4,COOL
DVC-104,2026-06-12 17:00:00,23.5,24.0,36.19,1,1591.7,COOL
DVC-102,2026-06-02 01:30:00,25.77,26.0,25.67,0,53.6,OFF
DVC-105,2026-06-04 02:45:00,25.87,26.0,24.8,0,46.5,OFF
DVC-103,2026-06-12 21:00:00,24.2,26.0,30.47,0,38.7,FAN
DVC-101,2026-06-04 23:00:00,25.95,26.0,28.06,0,42.2,OFF
DVC-105,2026-06-03 23:00:00,25.8,26.0,27.97,0,30.5,OFF
DVC-101,2026-06-10 16:15:00,24.39,24.0,36.73,1,1325.2,COOL
DVC-105,2026-06-12 01:15:00,25.84,26.0,26.52,0,43.8,OFF
DVC-102,2026-06-01 18:15:00,24.44,24.0,35.29,1,1165.1,COOL
DVC-105,2026-06-04 00:15:00,26.09,26.0,26.47,0,48.4,OFF
DVC-104,2026-06-09 10:30:00,23.5,24.0,33.3,1,1548.5,COOL
DVC-105,2026-06-03 16:00:00,24.47,24.0,37.01,1,1401.8,COOL
DVC-104,2026-06-04 22:15:00,25.12,26.0,28.73,0,35.2,OFF
DVC-102,2026-06-02 02:45:00,25.75,26.0,24.88,0,48.9,OFF
DVC-105,2026-06-06 09:30:00,25.85,24.0,32.28,1,1240.2,COOL
DVC-102,2026-06-12 11:00:00,24.13,24.0,33.15,1,1397.0,COOL
DVC-105,2026-06-13 06:45:00,26.56,26.0,27.93,0,62.4,OFF
DVC-101,2026-06-06 00:00:00,26.21,26.0,26.89,0,48.7,OFF
DVC-101,2026-06-01 20:45:00,24.47,24.0,31.16,1,1415.8,COOL
DVC-102,2026-06-10 02:15:00,26.16,26.0,24.6,0,43.6,OFF
DVC-104,2026-06-09 01:00:00,23.5,26.0,25.36,0,42.7,OFF
DVC-105,2026-06-11 13:45:00,24.24,24.0,36.3,1,1188.3,COOL
DVC-105,2026-06-14 04:45:00,26.26,26.0,26.07,0,29.8,OFF
DVC-101,2026-06-08 08:15:00,26.16,26.0,29.24,0,28.8,FAN
DVC-102,2026-06-10 00:45:00,26.38,26.0,25.91,0,39.5,OFF
DVC-101,2026-06-12 06:15:00,26.24,26.0,26.95,0,5024.6,OFF
DVC-105,2026-06-01 01:30:00,26.82,26.0,26.25,0,62.3,OFF
DVC-102,2026-06-14 11:15:00,24.53,24.0,34.32,0,30.5,FAN
DVC-103,2026-06-14 15:45:00,24.68,24.0,36.69,0,47.8,FAN
DVC-101,2026-06-08 10:45:00,24.59,24.0,32.92,0,42.6,FAN
DVC-103,2026-06-09 19:30:00,24.59,24.0,33.73,0,41.1,FAN
DVC-104,2026-06-05 09:45:00,24.86,24.0,32.36,1,1534.2,COOL
DVC-101,2026-06-10 18:00:00,24.14,24.0,34.55,1,1342.6,COOL
DVC-103,2026-06-04 23:30:00,26.19,26.0,27.42,0,49.5,OFF
DVC-105,2026-06-11 21:45:00,25.2,26.0,29.74,0,50.6,FAN
DVC-103,2026-06-14 21:45:00,24.99,26.0,30.35,0,48.7,FAN
DVC-103,2026-06-04 14:30:00,24.08,24.0,36.5,1,1533.3,COOL
DVC-101,2026-06-12 02:00:00,26.39,26.0,24.82,0,26.0,OFF
DVC-104,2026-06-09 10:15:00,23.5,24.0,32.03,1,1226.5,COOL
DVC-105,2026-06-11 06:45:00,26.27,26.0,26.25,0,68.6,OFF
DVC-101,2026-06-14 06:30:00,25.35,26.0,26.97,0,57.4,OFF
DVC-102,2026-06-14 03:30:00,25.61,26.0,25.6,0,60.2,OFF
DVC-103,2026-06-02 14:15:00,24.6,24.0,36.26,1,1639.2,COOL
DVC-105,2026-06-10 09:00:00,26.11,24.0,31.14,1,1220.4,COOL
DVC-104,2026-06-13 01:45:00,23.5,26.0,25.14,0,56.9,OFF
DVC-102,2026-06-08 06:15:00,25.96,26.0,27.22,0,44.4,OFF
DVC-105,2026-06-07 23:15:00,26.49,26.0,29.16,0,30.5,OFF
DVC-102,2026-06-04 22:00:00,25.73,26.0,29.17,0,46.5,OFF
DVC-104,2026-06-02 21:30:00,25.38,26.0,30.22,0,52.8,FAN
DVC-105,2026-06-10 03:15:00,25.76,26.0,24.24,0,17.3,OFF
DVC-101,2026-06-01 23:15:00,25.71,26.0,27.62,0,48.1,OFF
DVC-102,2026-06-06 08:45:00,26.35,26.0,30.06,0,44.3,FAN
DVC-105,2026-06-10 20:30:00,24.21,24.0,32.63,1,1230.6,COOL
DVC-101,2026-06-09 09:30:00,25.3,24.0,31.7,1,1310.6,COOL
DVC-104,2026-06-13 02:30:00,23.5,26.0,25.5,0,45.5,OFF
DVC-105,2026-06-07 02:15:00,25.88,26.0,24.55,0,50.4,OFF
DVC-101,2026-06-01 22:45:00,25.7,26.0,28.29,0,43.3,OFF
DVC-105,2026-06-01 05:00:00,25.82,26.0,25.57,0,47.8,OFF
DVC-103,2026-06-09 23:00:00,26.09,26.0,28.11,0,60.1,OFF
DVC-104,2026-06-12 16:45:00,23.5,24.0,37.18,0,31.2,FAN
DVC-101,2026-06-03 07:45:00,25.62,26.0,28.42,0,44.9,OFF
DVC-104,2026-06-02 22:45:00,26.34,26.0,28.92,0,38.7,OFF
DVC-104,2026-06-11 19:00:00,23.5,24.0,33.72,1,1118.5,COOL
DVC-102,2026-06-09 19:15:00,24.15,24.0,33.11,1,1469.7,COOL
DVC-104,2026-06-07 15:45:00,24.46,24.0,36.66,0,35.1,FAN
DVC-101,2026-06-07 19:45:00,24.16,24.0,33.12,0,57.9,FAN
DVC-101,2026-06-12 15:00:00,24.58,24.0,37.68,1,1452.1,COOL
DVC-101,2026-06-08 14:00:00,24.08,24.0,36.11,1,1319.1,COOL
DVC-103,2026-06-09 03:45:00,25.67,26.0,24.05,0,55.0,OFF
DVC-103,2026-06-01 15:30:00,24.44,24.0,37.56,1,1295.3,COOL
DVC-101,2026-06-05 11:00:00,24.5,24.0,33.17,0,39.6,FAN
DVC-102,2026-06-12 21:00:00,24.73,26.0,30.11,0,47.4,FAN
DVC-102,2026-06-03 05:45:00,26.52,26.0,26.61,0,35.1,OFF
DVC-102,2026-06-05 08:30:00,25.99,26.0,29.64,1,1451.8,COOL
